user_id,reorder_ratio,unique_product_count,avg_order_hour,avg_order_dow,avg_days_since_prior_order,cluster
3321,0.0,1,9.0,5.0,12.0,3
3324,1.0,2,12.0,0.0,18.0,2
3354,0.0,1,21.0,0.0,6.0,1
3363,0.0,1,17.0,6.0,8.0,3
3371,0.0,2,17.0,0.0,22.0,4
3374,0.0,1,15.0,5.0,17.5,3
3410,0.0,1,14.0,1.0,27.0,4
3412,0.0,1,17.0,1.0,4.5,4
3418,0.0,1,13.0,2.0,2.3333333333333335,4
3421,1.0,2,16.0,1.0,18.0,1
3428,0.3333333333333333,3,17.0,0.0,30.0,1
3431,1.0,3,11.0,4.0,11.0,2
3461,0.0,1,8.0,3.0,7.0,4
3462,0.375,8,9.5,0.5,20.0,0
3464,1.0,4,10.75,4.25,7.666666666666667,0
3482,0.5,2,10.0,1.0,11.0,4
3484,1.0,1,14.0,5.0,5.0,2
3492,1.0,1,21.0,3.0,21.0,1
3500,0.5,2,17.5,6.0,11.0,3
3505,1.0,1,14.0,2.0,4.0,1
3509,1.0,3,15.0,5.0,5.0,2
3513,0.0,2,17.0,2.0,0.0,3
3531,1.0,2,13.0,6.0,18.0,2
3536,0.8333333333333334,6,14.666666666666666,0.0,4.333333333333333,0
3542,1.0,2,22.0,6.0,8.0,2
3544,0.5,2,16.0,6.0,8.0,3
3547,0.6666666666666666,3,11.0,6.0,21.0,2
3551,0.0,1,16.0,0.0,6.0,4
3559,0.0,3,14.0,4.0,0.0,3
3570,1.0,3,12.0,0.0,11.0,2
3572,0.0,1,9.0,4.0,11.0,3
3584,1.0,1,9.0,0.0,7.0,2
3597,0.8333333333333334,6,14.5,3.0,20.5,0
3634,0.5,2,11.0,3.0,3.0,2
3640,1.0,1,13.0,6.0,3.0,2
3657,0.0,2,22.5,4.0,8.5,3
3676,0.5,2,0.0,3.0,23.0,2
3682,0.0,1,19.0,1.0,6.0,4
3690,1.0,1,17.0,1.0,10.0,1
3700,0.3333333333333333,3,13.666666666666666,1.0,28.5,4
3704,1.0,1,19.0,4.0,30.0,1
3713,1.0,5,19.0,4.0,11.0,0
3714,1.0,1,15.0,5.0,6.0,2
3721,1.0,1,19.0,3.0,30.0,1
3724,0.3333333333333333,3,10.0,1.0,30.0,4
3725,1.0,1,18.0,4.0,6.0,2
3733,0.5,2,14.0,0.0,14.0,4
3735,0.0,1,13.0,3.0,9.0,3
3738,0.5,2,17.0,3.0,27.0,1
3764,0.5,2,12.0,0.0,23.0,4
3773,0.5,2,12.0,2.0,30.0,4
3794,0.75,4,12.0,6.0,5.0,0
3809,0.0,2,9.0,0.0,0.0,4
3838,0.25,4,14.0,4.0,6.0,0
3839,0.0,3,14.0,6.0,28.0,3
3856,1.0,3,9.0,4.0,4.666666666666667,2
3880,1.0,1,12.0,2.0,1.0,2
3915,0.0,3,11.0,2.0,3.0,4
3919,1.0,2,14.0,2.0,7.0,1
3923,1.0,4,19.5,6.0,2.5,0
3947,0.0,1,10.0,5.0,0.0,3
3974,1.0,1,15.0,0.0,14.0,1
4002,1.0,1,15.0,1.0,7.0,1
4027,1.0,1,0.0,1.0,20.0,2
4053,0.5,2,16.0,5.0,27.0,3
4073,1.0,1,9.0,4.0,13.0,2
4076,1.0,1,20.0,1.0,13.0,1
4096,0.0,2,23.0,4.0,0.0,3
4103,0.0,1,11.0,1.0,4.0,4
4117,1.0,1,12.0,5.0,4.333333333333333,2
4119,0.0,2,10.0,6.0,0.0,3
4130,1.0,1,16.0,5.0,6.0,2
4133,0.0,1,9.0,4.0,14.0,3
4170,0.5,2,14.0,3.0,5.0,3
4190,0.0,1,7.0,2.0,0.0,4
4192,1.0,1,16.0,0.0,5.0,1
4209,0.0,2,20.0,3.0,13.0,3
4223,0.0,1,16.0,1.0,6.0,4
4225,0.0,1,16.0,6.0,14.0,3
4229,0.0,1,10.0,3.0,1.0,3
4231,0.0,1,14.0,2.0,0.0,4
4256,0.0,1,12.0,5.0,6.0,3
4267,1.0,1,11.0,5.0,7.0,2
4272,0.0,1,12.0,6.0,11.0,3
4273,0.3333333333333333,3,13.0,2.0,16.5,4
4281,1.0,1,7.0,2.0,5.5,2
4284,0.0,1,9.0,0.0,4.8,4
4294,0.5,4,16.0,5.0,2.0,0
4321,1.0,1,19.0,4.0,11.0,2
4325,1.0,1,16.0,1.0,24.0,1
4330,0.3333333333333333,3,16.0,4.0,15.0,3
4332,0.0,2,13.0,3.0,0.0,3
4344,1.0,1,23.0,5.0,5.0,1
4347,0.0,3,19.333333333333332,5.0,15.5,3
4351,0.0,1,6.0,1.0,30.0,4
4363,0.5,2,19.0,0.0,4.0,1
4375,1.0,1,18.0,0.0,7.0,1
4387,1.0,1,14.0,0.0,16.5,1
4434,0.3333333333333333,3,20.0,4.0,30.0,1
4442,1.0,1,15.0,2.0,3.0,1
4457,0.0,1,10.0,6.0,4.0,3
4475,0.0,1,14.0,2.0,30.0,4
4503,1.0,2,11.0,1.0,6.0,2
4522,1.0,1,15.0,3.0,9.0,2
4533,0.0,1,13.0,3.0,18.0,4
4538,1.0,1,10.0,2.0,8.0,2
4541,1.0,3,7.0,4.0,2.0,2
4544,0.0,1,8.0,3.0,10.0,4
4555,1.0,1,21.0,5.0,6.0,2
4557,0.3333333333333333,6,20.333333333333332,4.0,6.333333333333333,0
4572,0.0,1,11.0,6.0,7.0,3
4576,1.0,1,19.0,2.0,22.0,1
4584,1.0,1,0.0,1.0,8.0,2
4591,1.0,1,10.0,2.0,7.5,2
4607,1.0,1,9.0,5.0,7.0,2
4646,1.0,1,7.0,1.0,6.0,2
4674,1.0,1,16.0,0.0,6.0,1
4689,0.0,1,14.0,1.0,28.0,4
4693,1.0,2,11.0,3.0,0.0,2
4694,1.0,6,10.0,3.0,2.0,0
4697,0.0,2,21.0,4.0,11.5,3
4702,0.5,2,11.0,2.0,5.0,2
4706,0.3333333333333333,3,21.0,4.0,7.0,3
4711,1.0,2,9.0,6.0,3.0,2
4714,0.0,2,11.0,0.0,5.0,4
4743,1.0,2,11.0,1.5,2.5,2
4756,0.5,2,18.0,5.0,28.0,3
4764,1.0,1,11.0,5.0,1.0,2
4767,1.0,1,15.0,3.0,4.0,2
4789,1.0,1,8.0,0.0,3.0,2
4796,0.5,2,12.0,5.0,30.0,3
4807,0.0,1,16.0,5.0,4.5,3
4809,1.0,2,11.0,3.0,3.0,2
4814,0.0,3,13.0,0.0,0.0,4
4815,0.0,1,14.0,2.0,15.0,4
4825,1.0,4,14.75,4.5,6.666666666666667,0
4843,1.0,3,15.666666666666666,3.6666666666666665,5.333333333333333,2
4848,0.5,2,14.0,2.0,8.0,1
4851,1.0,2,7.0,5.0,14.5,2
4856,0.0,2,14.0,6.0,19.0,3
4860,0.75,4,13.75,3.0,10.0,0
4865,1.0,1,13.0,0.0,6.0,2
4867,0.0,2,16.0,2.0,11.0,4
4890,0.0,2,12.0,2.0,29.0,4
4892,1.0,2,8.0,1.0,21.0,2
4936,0.0,1,21.0,1.0,30.0,4
4939,0.4,4,22.4,0.0,6.0,1
4962,1.0,3,15.0,3.0,11.0,1
4971,0.0,2,18.0,3.0,30.0,3
4972,0.0,1,10.0,4.0,4.0,3
4980,0.8,5,10.0,1.0,19.0,0
4983,1.0,1,6.0,4.0,23.0,2
4985,1.0,1,11.0,1.0,11.0,2
5000,0.0,1,17.0,3.0,8.0,3
5002,0.0,1,12.0,2.0,17.0,4
5018,1.0,1,3.0,3.0,24.0,2
5021,1.0,2,12.0,1.0,11.0,2
5027,0.0,2,8.0,6.0,30.0,3
5049,1.0,1,22.0,3.0,11.0,1
5053,1.0,1,22.0,2.0,5.0,1
5066,0.0,1,22.0,0.0,10.0,1
5071,0.5714285714285714,7,15.428571428571429,5.857142857142857,6.0,0
5082,0.0,1,23.0,4.0,8.0,3
5083,0.0,1,20.0,5.0,16.0,3
5100,1.0,2,9.0,4.0,10.0,2
5103,1.0,3,15.333333333333334,2.3333333333333335,5.666666666666667,1
5115,0.3333333333333333,3,9.0,0.0,11.0,4
5118,0.5,2,23.0,2.0,6.0,1
5129,1.0,2,9.0,3.0,2.0,2
5151,0.0,1,8.0,3.0,22.0,4
5157,0.6666666666666666,3,11.0,0.0,4.0,4
5161,0.0,1,13.0,3.0,0.0,3
5191,0.5,2,12.0,3.0,2.0,2
5197,0.0,1,12.0,1.0,3.6666666666666665,4
5199,0.5,2,17.0,4.0,13.0,3
5209,0.75,4,9.5,2.0,4.0,0
5220,0.5,4,10.0,2.0,19.0,0
5228,0.0,3,15.0,0.0,4.0,4
5237,1.0,2,6.0,2.0,6.0,2
5253,0.5,2,18.0,2.0,1.0,1
5260,1.0,1,8.0,0.0,8.0,2
5278,0.6666666666666666,3,20.0,3.0,4.0,1
5283,1.0,2,14.0,5.0,3.0,2
5301,0.8333333333333334,6,13.0,3.3333333333333335,7.5,0
5303,1.0,2,22.0,0.0,7.0,1
5307,0.5,4,9.25,1.0,13.0,0
5309,1.0,1,17.0,2.0,1.0,1
5310,1.0,1,19.0,1.0,7.0,1
5325,0.0,1,10.0,4.0,6.0,3
5335,1.0,3,22.0,6.0,6.0,2
5342,1.0,1,15.0,6.0,5.0,2
5345,1.0,2,14.0,0.0,14.0,1
5356,0.0,2,10.0,5.0,7.0,3
5360,0.9047619047619048,21,12.666666666666666,1.0476190476190477,8.75,0
5379,0.0,1,10.0,4.0,30.0,3
5382,1.0,2,9.0,6.0,5.0,2
5389,0.0,1,14.0,6.0,11.0,3
5401,0.0,4,10.0,1.0,30.0,0
5417,1.0,1,14.0,3.0,3.0,2
5424,1.0,3,8.0,0.0,14.5,2
5437,1.0,1,12.0,0.0,13.0,2
5440,1.0,2,19.0,1.0,4.666666666666667,1
5450,0.0,3,19.0,5.0,12.0,3
5469,0.5,2,12.5,3.5,5.5,2
5483,0.0,1,16.0,5.0,5.0,3
5489,1.0,2,0.0,3.0,6.0,2
5501,0.4,5,22.0,5.0,30.0,0
5514,1.0,1,19.0,0.0,30.0,1
5524,0.0,3,12.0,4.0,30.0,3
5531,0.0,1,15.0,6.0,5.0,3
5535,1.0,1,9.0,0.0,7.0,2
5541,1.0,2,15.0,2.0,6.0,1
5544,1.0,1,6.0,1.0,10.0,2
5557,0.0,1,20.0,3.0,0.0,3
5558,1.0,1,21.0,2.0,4.0,1
5562,1.0,1,8.0,4.0,6.0,2
5583,0.0,1,13.0,1.0,14.0,4
5588,1.0,2,6.0,3.0,2.0,2
5603,0.0,1,23.0,5.0,5.0,3
5629,0.6666666666666666,3,14.0,2.0,8.5,1
5678,0.7142857142857143,7,15.428571428571429,1.4285714285714286,3.5,0
5688,0.25,4,15.0,0.0,9.0,0
5715,0.5,2,18.0,5.0,11.0,3
5745,0.8,5,11.0,0.0,30.0,0
5754,0.5,2,17.0,3.0,10.0,1
5770,0.0,1,16.0,2.0,0.0,3
5773,0.0,1,18.0,0.0,3.0,4
5809,0.0,1,9.0,2.0,8.0,4
5824,0.0,2,11.0,6.0,8.0,3
5833,0.75,4,18.0,5.0,9.0,0
5837,0.0,2,18.0,3.0,30.0,3
5839,0.0,1,13.0,2.0,11.0,4
5841,1.0,2,12.0,0.0,30.0,2
5848,1.0,2,9.0,6.0,5.0,2
5859,0.5,2,21.0,3.0,3.0,1
5862,0.0,1,10.0,0.0,14.0,4
5884,1.0,2,9.0,4.0,30.0,2
5885,0.3333333333333333,3,18.0,2.0,27.0,1
5886,1.0,1,17.0,5.0,1.0,2
5891,0.5,2,8.0,2.0,8.0,2
5897,1.0,2,16.0,1.0,10.0,1
5913,0.5,2,15.0,4.0,11.0,3
5955,1.0,1,15.0,6.0,14.0,2
5956,1.0,2,9.0,3.0,17.0,2
5960,0.3333333333333333,3,13.0,6.0,3.0,3
5971,1.0,2,12.5,4.5,3.0,2
5978,1.0,1,10.0,1.0,7.0,2
5980,0.2,5,15.0,5.0,7.0,0
6015,1.0,1,12.0,0.0,1.0,2
6020,1.0,1,16.0,4.0,7.0,2
6021,0.0,1,13.0,0.0,8.0,4
6040,1.0,1,12.0,6.0,10.0,2
6055,0.0,3,18.0,5.0,30.0,3
6058,1.0,1,12.0,0.0,8.0,2
6073,0.0,1,14.0,1.0,0.0,4
6087,0.0,1,18.0,3.0,0.0,3
6096,0.0,3,13.0,6.0,0.0,3
6118,0.5,2,12.0,0.0,4.0,4
6147,0.5,2,19.0,1.0,13.0,1
6171,1.0,1,12.0,0.0,9.0,2
6175,1.0,1,10.0,5.0,5.0,2
6188,0.0,1,12.0,5.0,6.0,3
6193,1.0,1,22.0,5.0,6.0,1
6217,1.0,1,15.0,0.0,6.5,1
6218,0.5,2,14.0,2.0,7.0,1
6220,0.6666666666666666,3,10.0,0.0,7.0,4
6229,1.0,1,10.0,0.0,5.0,2
6235,0.0,1,8.0,4.0,5.0,3
6238,1.0,1,14.0,6.0,18.0,2
6254,0.0,1,12.0,5.0,6.0,3
6268,1.0,1,9.0,5.0,2.5,2
6285,0.0,1,14.0,0.0,5.0,4
6290,1.0,2,14.5,5.5,5.5,2
6293,1.0,1,16.0,2.0,5.0,1
6330,0.8333333333333334,6,20.0,1.0,4.0,0
6342,0.0,1,7.0,2.0,16.0,4
6357,0.2,5,10.6,5.4,3.5,0
6371,1.0,1,7.0,2.0,15.0,2
6391,1.0,1,14.0,3.0,3.0,2
6410,1.0,4,16.0,2.5,5.5,0
6417,1.0,3,11.0,3.0,5.0,2
6418,0.0,1,14.0,3.0,0.0,3
6421,1.0,1,16.0,6.0,5.0,2
6433,1.0,3,13.0,5.0,2.0,2
6449,1.0,1,13.0,1.0,6.0,2
6466,0.0,4,10.0,3.0,30.0,0
6467,0.0,2,15.0,0.0,8.5,4
6490,1.0,1,10.0,3.0,20.0,2
6501,1.0,1,7.0,2.0,3.0,2
6502,0.3333333333333333,6,19.0,4.0,11.0,0
6505,1.0,1,9.0,1.0,5.5,2
6512,0.0,1,12.0,4.0,4.0,3
6532,1.0,2,21.0,1.0,5.0,1
6546,1.0,2,13.0,1.0,11.0,2
6554,0.6666666666666666,3,19.0,1.0,4.0,1
6573,1.0,1,8.0,1.0,12.0,2
6589,1.0,2,8.0,1.0,7.0,2
6623,1.0,1,13.0,6.0,5.0,2
6649,0.5,2,13.0,6.0,13.0,3
6650,1.0,1,12.0,0.0,2.0,2
6652,0.3333333333333333,6,19.0,2.0,9.0,0
6654,1.0,1,9.0,1.0,12.0,2
6663,0.0,1,16.0,0.0,0.0,4
6693,0.5,4,14.0,3.0,2.0,0
6705,0.5,2,8.0,1.0,13.0,4
6707,0.0,2,9.0,0.0,4.0,4
6708,1.0,2,16.0,3.0,19.0,1
6714,0.0,1,15.0,5.0,7.0,3
6726,1.0,3,15.0,0.0,0.0,1
6733,1.0,1,16.0,5.0,7.0,2
6738,1.0,1,13.0,1.0,9.0,2
6754,1.0,1,12.0,1.0,3.0,2
6771,0.0,1,10.0,0.0,30.0,4
6778,1.0,1,8.0,5.0,5.0,2
6795,1.0,1,23.0,2.0,30.0,1
6803,0.0,1,20.0,0.0,0.0,4
6808,1.0,1,13.0,4.0,4.0,2
6810,1.0,3,20.0,3.0,3.0,1
6817,0.0,2,11.0,5.0,30.0,3
6831,0.0,1,21.0,6.0,5.0,3
6863,1.0,1,7.0,2.0,27.0,2
6874,0.0,2,18.0,0.0,15.0,4
6881,0.0,1,16.0,5.0,0.0,3
6895,0.0,2,13.0,4.0,3.0,3
6901,0.0,1,14.0,2.0,6.5,4
6912,0.0,1,8.0,0.0,10.0,4
6921,1.0,1,12.0,0.0,5.0,2
6928,0.5,2,5.0,0.0,30.0,4
6954,0.0,1,16.0,0.0,30.0,4
6956,0.5,2,20.0,1.0,3.0,1
6957,0.5,2,15.0,2.0,9.0,1
6958,1.0,1,22.0,5.0,4.0,1
6974,0.0,3,10.0,2.0,8.0,4
6981,0.6666666666666666,3,21.0,5.0,8.0,3
6982,0.5,2,10.0,3.0,1.0,2
6987,0.0,1,22.0,0.0,2.0,1
6990,0.5,2,17.0,3.0,8.0,1
6993,1.0,1,19.0,6.0,10.0,2
7020,0.0,1,8.0,4.0,0.0,3
7027,1.0,5,19.0,5.0,5.0,0
7045,1.0,2,14.0,0.0,1.0,1
7051,1.0,2,9.0,1.0,30.0,2
7052,0.3333333333333333,3,16.0,0.0,30.0,4
7069,0.5,2,13.0,0.0,7.0,4
7077,0.6666666666666666,3,14.0,5.0,4.0,2
7083,1.0,1,17.0,4.0,30.0,2
7084,1.0,1,16.0,0.0,10.0,1
7119,0.0,1,11.0,3.0,11.0,4
7131,0.5,2,12.0,0.0,6.5,4
7136,0.3333333333333333,3,13.666666666666666,4.666666666666667,9.5,3
7151,1.0,1,18.0,0.0,4.0,1
